iter	Passed	Remaining
1616	9956	2358
1617	9963	2352
1618	9969	2346
1619	9975	2339
1620	9981	2333
1621	9986	2327
1622	9992	2321
1623	9999	2315
1624	10005	2309
1625	10011	2302
1626	10018	2296
1627	10023	2290
1628	10029	2284
1629	10035	2278
1630	10041	2271
1631	10049	2265
1632	10055	2259
1633	10061	2253
1634	10067	2247
1635	10073	2241
1636	10080	2235
1637	10086	2229
1638	10092	2222
1639	10098	2216
1640	10104	2210
1641	10110	2204
1642	10116	2198
1643	10123	2192
1644	10129	2185
1645	10135	2179
1646	10141	2173
1647	10147	2167
1648	10153	2161
1649	10159	2155
1650	10166	2149
1651	10171	2142
1652	10177	2136
1653	10183	2130
1654	10189	2124
1655	10195	2117
1656	10201	2111
1657	10207	2105
1658	10213	2099
1659	10219	2093
1660	10225	2087
1661	10231	2080
1662	10237	2074
1663	10243	2068
1664	10249	2062
1665	10255	2056
1666	10262	2049
1667	10268	2043
1668	10274	2037
1669	10280	2031
1670	10287	2025
1671	10293	2019
1672	10298	2012
1673	10304	2006
1674	10310	2000
1675	10316	1994
